OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,YearBuilt,YearRemodAdd,GarageCars,GarageArea,FullBath,TotRmsAbvGrd,KitchenQual,Fireplaces,LotArea,Neighborhood,ExterQual,PropertyType,DPE,HasPool,AgentID,SaleDate,SalePrice
4,157.8,92.9,882.31,1931,2018,1,570.38,1.0,2,Gd,0,314.9,Belleville,TA,Loft,,0,,2015-02-02,807342.0
6,117.1,101.0,720.4,1932,1974,1,537.17,1.0,4,TA,1,305.3,Oberkampf,Gd,Studio,F,0,,3/10/2022,694289.0
6,222.2,50.1,493.71,1921,1913,0,503.67,1.0,2,TA,1,416.6,Clignancourt,gd,Appartement,,0,,2022-04-13,1548894.0
6,221.7,5.2,1096.16,1929,1904,2,426.36,1.0,7,TA,3,906.6,Bastille,Gd,Appartement,,0,,,1200124.0
5,140.9,83.9,1411.8,1967,1900,Oui,794.74,3.0,5,TA,1,875.2,Auteuil,Fa,Appartement,E,0,,2016-04-12,1005079.0
5,85.5,73.1,1282.9,2016,2013,2,805.36,2.0,7,Gd,1,376.4,Auteuil,TA,Appartement,F,0,Agent_2,2016-01-18,680629.0
4,76.1,5.5,1115.31,1932,1924,1,261.11,1.0,8,Gd,0,618.9,Vincennes,Fa,Maison,C,0,Agent_6,2017-10-27,393101.0
7,90.2,161.7,976.94,1949,1982,0,344.71,1.0,,Gd,0,333.9,Oberkampf,TA,Appartement,Non renseigné,0,,2023-09-11,670471.0
8,110.8,81.6,970.93,1918,1910,2,504.77,1.0,7,Good,1,749.4,Pantin,Ex,Maison,,0,,,1058648.0
6,78.0,67.9,936.24,1964,1961,1,682.37,1.0,5,Gd,1,639.5,,Ex,Studio,A,N,Agent_49,2015-01-22,538509.0
5,158.0,139.8,1138.44,1900,1918,2,419.31,1.0,7,Fa,0,853.0,bastille,TA,Maison,,1,,2015-10-06,562101.0
6,-10,,1460.79,,1997,1,638.73,1.0,3,TA,0,337.7,Clignancourt,Gd,DUPLEX,F,1,Agent_17,2016-11-19,50000.0
5,68.0 m²,0.5,840.87,2003,1969,0,374.43,1.0,1,?,1,1208.7,Nation,gd,Villa,G,0,,2016-06-08,763395.0
5,164.9,41.4,863.65,1994,1944,1,501.94,2.0,6,Po,2,491.3,Saint-Germain,Gd,Maison,Non renseigné,0,Agent_19,2021-12-23,1515761.0
,158.1,132.3,1359.85,1935,,2,242.0 m²,2.0,5,Ex,0,,Bercy,TA,Studio,E,1,Agent_49,2017-01-01,1121352.0
7,9999,76.8,996.98,1934,1941,0,248.54,4.0,3,Gd,Yes,204.3,Bercy,Gd,Loft,,0,Agent_27,2018-07-08,
5,184.7,33.1,1208.66,1901,1972,-1,590.52,1.0,1,,1,999999,Luxembourg,Fa,Appartement,D,1,Agent_22,2022-09-20,1076301.0
5,203.7,160.0,743.22,1976,1999,0,547.83,1.0,3,gd,1,199.1,Marais,TA,Maison,E,0,,2015-06-22,1475447.0
4,71.8,150.4,1173.5,1990,1925,Oui,526.07,1.0,7,Gd,1,682.9,Auteuil,,Appartement,F,,,2022-05-15,417677.0
6,204.1,56.2,733.35,1997,2099,3,493.83,2.0,1,,1,683.8,Vincennes,Ex,Appartement,C,0,,,2187903.0
5,186.9,107.1,1244.26,2018,1908,1,460.6,3.0,6,TA,2,626.7,Vincennes,Gd,Studio,,1,,2019-11-23,2312739.0
6,80.5,29.0,924.14,1999,,1,453.0 m²,,3,TA,0,135.3,Bercy,Gd,apartment,D,0,,2017-04-24,756935.0
2/10,162.3,76.3,873.31,1990,2009,3,302.06,2.0,7,Ex,2,1249.5,Châtelet,Gd,?,B,0,Agent_35,2019-06-28,763399.0
6,139.9,89.2,790.55,1935,1902,2,474.67,1.0,4,Gd,3,722.7,Pigalle,Gd,Studio,C,0,Agent_42,2015-06-21,940216.0
5,109.2,,801.56,2016,2012,2,682.29,4.0,8,TA,No,977.9,Oberkampf,Ex,Studio,F,0,,2019-02-13,647436.0
5,178.5,25.4,1155.93,2009,1968,1,276.8,1.0,5,TA,3,735.5,Pigalle,TA,Appartement,C,0,,2016-07-12,1495151.0
5,92.6,33.0,1277.28,2021,1920,1,339.87,2.0,2,Fa,1,490.6,,Gd,?,D,0,Agent_50,2018-07-10,718965.0
5,-10,2.2,1069.1,2003,1943,2,345.26,1.0,5,Gd,Yes,48.3,République,Ex,Studio,,0,,2017-02-17,50000.0
4,152.3,180.4,783.49,1910,1962,0,32733.0,2.0,8,Gd,0,595.7,Saint-Germain,Gd,Maison,,0,,2018-03-11,983050.0
7,101.1,32.0,997.68,1996,1939,0,439.67,,2,Gd,3,1613.9,Belleville,Ex,Maison,D,0,Agent_21,2015-11-16,875978.0
4,174.7,207.9,1526.94,2022,1916,0,621.23,1.0,4,Gd,1,69.3,Vincennes,Ex,Maison,G,0,,2016-07-18,1434192.0
8,80.6,28.3,1476.0 sqft,1979,2005,2,375.56,3.0,1,Ex,1,125.2,Oberkampf,Gd,Maison,,0,,2022-03-27,702868.0
4,183.9,44.5,885.68,1986,1900,3,473.13,3.0,8,TA,0,141.4,Vincennes,Fa,Loft,E,0,,2021-06-25,1259548.0
5,159.8,75.4,1090.6,1927,1934,1,451.29,1.0,3,?,0,1016.5,République,Gd,Studio,,0,Agent_7,2018-01-17,1221782.0
6,127.6,61.8,683.82,1939,1905,1,684.2,10.0,8,TA,0,-100,Montmartre,TA,Maison,B,0,Agent_26,2022-08-10,914312.0
5/10,131.9,134.5,1323.98,1900,1978,1,437.55,3.0,1,Ex,1,501.2,Bastille,Ex,Duplex,e,,,2015-06-08,612404.0
7,201.8,80.9,1092.48,1928,1984,1,612.96,3.0,8,Gd,,488.9,Marais,Ex,Duplex,B,1,Agent_24,2023-08-17,1249869.0
5,244.5,68.5,555.51,1995,1914,0,377.17,3.0,,,3,,Vincennes,Fa,Villa,E,0,Agent_41,2022-10-22,3242206.0
9,300.7,34.6,867.8,1914,1903,0,595.84,1.0,7,TA,3,345.4,Opéra,TA,Appartement,C,1,,2018-04-16,2208328.0
5,101.6,15.5,-658.83,1963,1905,0,620.44,,7,?,1,0,Oberkampf,TA,Maison,C,0,,2020-04-18,599603.0
6,90.5,120.8,805.73,1942,2001,0,835.91,10.0,3,Gd,1,89.4,Clignancourt,Ex,APPARTEMENT,B,0,Agent_23,2018-10-15,693388.0
6,106.3,31.7,1165.14,1932,1957,1,51.23,4.0,1,Fa,0,1333.2,Oberkampf,Gd,Studio,,0,Agent_40,2018-08-18,701144.0
5,123.2,11.7,1413.88,1922,2003,1,420.96,4.0,6,TA,2,217.6,Clignancourt,Ex,Duplex,,0,Agent_43,2022-04-03,945287.0
5,130.4,24.0,1123.41,1901,1936,0,340.25,1.0,4,Gd,1,980.6,Bastille,Gd,Maison,,0,Agent_49,2016-08-11,548040.0
4,153.5,93.4,771.5,1983,1929,2,559.9,2.0,5,Gd,0,,pigalle,TA,Duplex,D,0,Agent_2,2023-07-27,753236.0
5,98.6,151.8,632.02,1976,1931,0,614.92,2.0,3,Gd,3,643.7,Châtelet,Gd,Appartement,D,0,Agent_48,2015-10-13,0.0
3,78.4,8.8,453.35,1954,1919,1,517.55,3.0,4,TA,0,650.7,Luxembourg,Gd,?,A,1,Agent_38,2016-12-18,451462.0
5,162.4,125.6,587.54,2009,,1,550.46,1.0,5,Gd,0,111.2,Batignolles,TA,Appartement,D,0,,14/11/2019,1424122.0
6,226.3,22.0,1221.61,1928,1988,1,154.64,3.0,5,Gd,1,308.0,Clignancourt,ta,Maison,C,0,,2022-08-09,1757140.0
6,164.0 m²,94.6,546.75,1900,1974,1,785.58,2.0,5,Fa,1,254.8,Batignolles,Gd,Maison,,0,,2022-12-05,744004.0
6,148.1,147.9,1061.08,2021,1960,0,50.4,,7,TA,0,880.8,Belleville,Gd,Studio,C,0,Agent_23,2019-11-08,1357877.0
5,10,108.8,902.9,1971,1957,1,728.3,2.0,4,Ex,0,999999,Oberkampf,Gd,APPARTEMENT,,0,Agent_48,2015-09-14,59029.0
4,140.7,38.3,1346.46,1962,1926,1,499.76,3.0,1,?,3,581.8,Marais,Gd,Maison,D,0,Agent_8,2016-08-13,865318.0
4,96.1,9.9,963.09,2002,2011,0,531.21,1.0,1,Gd,1,371.1,Montmartre,Fa,Maison,C,,,2021-12-01,691729.0
5,227.5,66.9,1134.25,1971,1973,2,1002.96,1.0,7,Gd,2,291.6,Vincennes,Ex,Maison,E,0,Agent_4,2018-05-03,2004327.0
5,,51.3,819.11,1914,1926,2,180.57,10.0,8,TA,0,838.5,Passy,TA,Appartement,C,0,Agent_42,Q1 2022,626106.0
7,151.1,69.3,133759.0,1922,2000,1,503.67,1.0,2,Gd,2,,Bercy,Gd,Appartement,,0,,2020-08-18,1271497.0
6,62.9,100.5,-903.76,0,1988,2,321.18,1.0,2,Gd,0,411.2,Opéra,Fa,Maison,A,0,Agent_43,2017-07-06,
5,186.0,39.4,1304.73,2019,1991,1,458.81,2.0,4,TA,3,,Châtelet,Gd,Maison,D,0,Agent_25,2019-11-20,1724429.0
9,10,29.8,812.24,1937,1912,0,953.8,3.0,4,TA,0,935.8,Clignancourt,Ex,Studio,F,0,Agent_22,2015-06-25,90072.0
6,104.6,17.3,891.87,1959,2019,0,71.17,2.0,2,Gd,1,275.1,République,Ex,Studio,C,0,Agent_41,2017-03-05,754661.0
6,119.5,69.9,883.52,1987,2022,1,315.18,2.0,8,Ex,0,873.7,Bercy,Ex,Duplex,,1,,2016-09-26,1175410.0
6,61.3,,737.7,1979,2021,1,383.05,2.0,1,TA,2,889.5,Pigalle,Ex,Appartement,d,0,Agent_17,2016-09-01,455605.0
8,153.8,115.5,955.82,1901,1914,0,592.35,1.0,7,Excellent,3,189.9,Bercy,Gd,Studio,G,0,,2016-06-09,1649056.0
3,263.7,39.2,1469.37,2000,1963,1,664.83,3.0,5,Ex,1,998.5,Pigalle,Ex,Appartement,C,0,Agent_30,2015-06-21,1404470.0
5,180.4,123.5,1030.11,1935,1925,1,199.0 m²,1.0,4,Fa,0,,Luxembourg,Ex,Appartement,D,1,Agent_19,15/1/2015,1254013.0
4,170.4,38.9,1154.15,1911,2000,1,349.36,2.0,5,TA,,309.5,Montmartre,Gd,Loft,F,0,,2015-07-24,880766.0
5,117.4,25.7,976.54,1929,1966,,,4.0,2,TA,3,0,Batignolles,Gd,Appartement,C,0,,2017-08-15,802606.0
5,217.2,80.9,1112.0,1913,1974,1,391.87,1.0,3,Fa,0,215.0,Pantin,Gd,Appartement,G,0,,2015-03-26,1251847.0
6,153.5,108.9,1109.31,1924,1938,1,306.67,2.0,1,Ex,,748.3,Montmartre,TA,Appartement,D,0,,2019-10-18,855768.0
6,18.3,86.7,416.27,1903,2011,1,674.85,1.0,5,,0,327.4,Auteuil,Ex,Appartement,C,0,Agent_20,2015-10-12,134946.0
6,40.6,173.4,1196.49,1966,2099,0,584.62,,7,Fa,2,176.6,Châtelet,Ex,house,D,0,,2020-01-03,327517.0
5,0,154.9,806.65,1978,1996,1,684.79,3.0,3,Gd,0,,Châtelet,Gd,Appartement,,0,Agent_3,2015-06-11,50000.0
4,90.7,94.0,469.66,1925,,2,37557.0,2.0,3,Ex,1,786.8,Pantin,TA,Loft,A,0,Agent_38,Non communiqué,584572.0
8,85.2,,1447.37,1700,1965,1,104.01,1.0,8,Gd,0,1237.7,Opéra,Gd,Appartement,,N,Agent_47,Q2 2016,50000.0
5,80.0,9.5,1023.17,1922,1901,0,838.97,3.0,5,,0,618.6,Luxembourg,Gd,Loft,,1,Agent_20,2023-07-17,476984.0
4,164.9,117.8,1667.26,1917,2023,1,539.39,2.0,2,Gd,2,339.7,Châtelet,Ex,Appartement,F,0,,2017-09-13,799792.0
5,80.5,13.9,915.74,1925,1979,1,399.67,1.0,7,Gd,0,106.7,Nation,TA,Appartement,G,0,Agent_14,2023-12-25,422642.0
8,136.0,8.0,896.37,1909,1995,0,372.84,4.0,5,Fa,3,654.9,châtelet,Ex,Loft,B,0,,2022-08-16,1013848.0
